TitleID,Timestamp,PlaytimeSeconds
0004003000009700,2018-07-19T09:00,60
0004001000021900,2018-07-19T09:00,660
0004001000021000,2018-07-19T09:00,60
000400000f701400,2018-07-19T09:00,120
0004001000021400,2018-07-19T09:00,120
0004001000021900,2018-08-11T01:00,360
0004001000021000,2018-08-11T01:00,60
0004001000021900,2018-08-11T06:00,540
0004001000021e00,2018-08-11T06:00,60
0004001000021500,2018-08-11T06:00,60
0004001020021d00,2018-08-11T06:00,240
0004000000088900,2018-08-31T01:00,1620
0004003000009700,2018-08-31T01:00,60
0004001000021500,2018-08-31T01:00,60
0004001000021900,2018-08-31T01:00,240
0004000000030800,2018-11-02T05:00,780
00040000000ec300,2018-11-02T05:00,1680
00040000000ec300,2018-11-02T06:00,120
0004001000021900,2018-11-02T06:00,60
0004001000021900,2018-11-28T04:00,780
0004003000009700,2018-11-28T04:00,60
0004001020021300,2018-12-15T17:00,60
0004000000030800,2018-12-15T17:00,480
0004000000088900,2018-12-15T17:00,360
0004001000021000,2018-12-15T17:00,60
0004001000021000,2018-12-16T17:00,60
0004001000021000,2018-12-16T18:00,300
0004001000021400,2018-12-16T18:00,120
0004000000030800,2018-12-16T18:00,1200
0004000000088900,2018-12-16T18:00,420
0004001020021d00,2018-12-16T18:00,60
0004001000021900,2018-12-16T18:00,60
0004000000030800,2018-12-16T19:00,600
0004001000021500,2018-12-16T19:00,60
0004001000021e00,2018-12-16T19:00,60
0004001000021900,2018-12-16T19:00,60
00040000000ec300,2018-12-16T19:00,60
0004000000030800,2018-12-17T07:00,1860
0004001000021800,2018-12-17T07:00,60
0004000000030800,2018-12-17T08:00,1680
0004001000021e00,2018-12-17T08:00,120
0004001000021100,2018-12-17T08:00,60
0004001000021000,2018-12-17T08:00,180
0004001000021800,2018-12-17T08:00,60
0004000000030800,2018-12-17T09:00,2880
0004001000021500,2018-12-17T09:00,60
0004001000021200,2018-12-17T09:00,60
0004001000021100,2018-12-17T09:00,60
000400000f701400,2018-12-17T09:00,60
0004000000030800,2018-12-17T10:00,2580
0004000000030800,2018-12-17T11:00,480
0004001000021000,2018-12-17T11:00,120
0004000000088900,2018-12-17T11:00,2880
0004000000088900,2018-12-17T12:00,780
0004001000021000,2018-12-17T12:00,120
0004001020024100,2018-12-17T12:00,60
0004000000030800,2018-12-17T12:00,540
0004000000030800,2018-12-17T13:00,1200
0004000000088900,2018-12-17T13:00,600
0004001000021900,2018-12-17T13:00,60
000400000f701400,2018-12-17T13:00,300
0004001000021200,2018-12-17T13:00,60
0004001000021700,2018-12-17T13:00,60
0004001000021400,2018-12-17T14:00,120
0004000000030800,2018-12-17T14:00,1680
00040000000ec300,2018-12-17T14:00,480
00040000000ec300,2018-12-17T15:00,60
0004003000009700,2018-12-17T15:00,60
0004001000021000,2018-12-17T15:00,420
0004003000009e00,2018-12-17T15:00,60
0004001000021400,2018-12-17T15:00,60
0004001020021d00,2018-12-17T15:00,120
0004001000021000,2018-12-17T16:00,60
0004001000021900,2018-12-17T16:00,60
0004001000021100,2018-12-17T16:00,60
0004003000009400,2018-12-17T16:00,60
0004003000009300,2018-12-17T16:00,60
0004003000009600,2018-12-17T16:00,60
000400300000bd00,2018-12-17T16:00,60
0004001000021700,2018-12-17T16:00,60
0004001000021800,2018-12-17T16:00,60
0004001000021400,2018-12-17T16:00,180
0004000000030800,2018-12-17T16:00,2280
0004001020021d00,2018-12-17T17:00,300
0004001020021d00,2018-12-17T18:00,2400
0004001000021400,2018-12-17T18:00,180
0004001000021500,2018-12-17T18:00,60
000400000f701400,2018-12-17T18:00,300
0004000000088900,2018-12-17T19:00,1500
0004000000088900,2018-12-17T20:00,300
0004001000021200,2018-12-18T07:00,60
0004001020021d00,2018-12-18T07:00,60
0004001000021400,2018-12-18T07:00,60
0004001000021400,2018-12-18T08:00,240
0004001020021d00,2018-12-18T08:00,540
0004000000030800,2018-12-18T08:00,1920
0004000000088900,2018-12-18T08:00,480
0004001020021d00,2018-12-18T09:00,540
0004001000021800,2018-12-18T09:00,60
000400000f701400,2018-12-18T09:00,60
0004000000088900,2018-12-18T09:00,840
0004000000030800,2018-12-18T09:00,1680
0004001000021100,2018-12-18T09:00,60
0004000000030800,2018-12-18T10:00,1500
00040000000ec300,2018-12-18T10:00,1680
00040000000ec300,2018-12-18T11:00,2640
0004001020021300,2018-12-18T11:00,60
0004000000088900,2018-12-18T11:00,420
0004001020021d00,2018-12-18T11:00,300
0004001020021d00,2018-12-18T12:00,540
0004001000021900,2018-12-18T12:00,60
0004000000088900,2018-12-18T13:00,780
0004000000088900,2018-12-18T14:00,600
00040000000ec300,2018-12-18T14:00,2940
00040000000ec300,2018-12-18T15:00,2640
0004000000030800,2018-12-18T15:00,900
0004000000030800,2018-12-18T16:00,3360
0004000000030800,2018-12-18T17:00,1920
0004001000021500,2018-12-18T18:00,60
0004000000030800,2018-12-18T19:00,2520
0004001020021d00,2018-12-18T19:00,120
0004001000021400,2018-12-18T19:00,120
0004000000030800,2018-12-18T20:00,1860
00040000000ec300,2018-12-18T20:00,1080
0004001000021e00,2018-12-19T09:00,60
0004000000030800,2018-12-19T09:00,180
0004000000030800,2018-12-19T10:00,1860
0004003000009600,2018-12-19T10:00,60
0004000000088900,2018-12-19T10:00,420
00040000000ec300,2018-12-19T10:00,240
0004001020021d00,2018-12-19T10:00,60
0004000000030800,2018-12-19T12:00,1980
0004001020021d00,2018-12-19T13:00,600
0004000000030800,2018-12-19T13:00,1680
0004001000021700,2018-12-19T13:00,300
0004001000021700,2018-12-19T14:00,780
0004000000030800,2018-12-19T14:00,2640
0004000000030800,2018-12-19T15:00,2580
0004000000088900,2018-12-19T15:00,60
0004000000088900,2018-12-19T16:00,240
0004000000030800,2018-12-19T16:00,1200
00040000000ec300,2018-12-19T16:00,120
0004001000021700,2018-12-19T16:00,60
0004003000009700,2018-12-19T17:00,300
0004003000009400,2018-12-19T17:00,60
0004001000021000,2018-12-19T17:00,360
0004000000088900,2018-12-19T17:00,780
0004000000088900,2018-12-19T18:00,3600
0004000000030800,2018-12-19T20:00,1740
0004000000030800,2018-12-19T21:00,480
0004003000009300,2018-12-20T07:00,180
0004003000009600,2018-12-20T07:00,60
0004003000009600,2018-12-20T08:00,60
0004003000009700,2018-12-20T08:00,60
0004003000009400,2018-12-20T08:00,60
0004000000088900,2018-12-20T08:00,480
0004000000030800,2018-12-20T08:00,960
0004003000009300,2018-12-20T08:00,60
0004001020021d00,2018-12-20T08:00,120
0004001000021700,2018-12-20T08:00,660
