Record,TID,Log_Info,Timestamp
11380,ffffffffffffffff,12,1293820200
11381,0004003000008f02,2,1293820200
11382,ffffffffffffffff,8,1293820200
11383,ffffffffffffffff,9,1293820200
11384,0004003000008f02,7,1293820200
11385,0004001000021000,0,1293820200
14395,ffffffffffffffff,12,1293820200
14396,0004003000008f02,2,1293820200
14397,ffffffffffffffff,10,1293820200
11386,ffffffffffffffff,11,1293820260
14398,0004003000008f02,2,1293820260
14399,0004003000008f02,7,1293820260
14400,0004001000021000,0,1293820260
14401,ffffffffffffffff,11,1293820320
11379,ffffffffffffffff,11,1505614080
1,0004001000021000,1,1531972860
2,0004003000008f02,6,1531972860
3,0004003000008f02,3,1531972920
4,0004003000009702,2,1531972920
5,0004003000009702,3,1531972920
6,0004003000008f02,2,1531972920
7,0004003000008f02,7,1531972980
8,0004001000021900,0,1531972980
9,0004001000021900,1,1531972980
10,0004003000008f02,7,1531972980
11,0004001000021000,0,1531972980
12,ffffffffffffffff,10,1531973040
13,0004003000008f02,2,1531973040
14,0004003000008f02,7,1531973100
15,0004001000021900,0,1531973100
16,0004001000021900,5,1531973400
17,0004003000008f02,6,1531973400
18,0004003000008f02,7,1531973400
19,0004001000021900,4,1531973400
20,0004001000021900,5,1531973700
21,0004003000008f02,6,1531973700
22,0004001000021900,1,1531973760
23,0004003000008f02,7,1531973760
24,000400000f701400,0,1531973760
25,000400000f701400,5,1531973880
26,0004003000008f02,6,1531973880
27,000400000f701400,1,1531973880
28,0004003000008f02,7,1531973880
29,0004001000021400,0,1531973880
30,0004001000021400,5,1531974000
31,0004003000008f02,6,1531974000
32,0004001000021400,1,1531974000
33,ffffffffffffffff,10,1531974000
34,0004003000008f02,2,1533930900
35,0004003000008f02,7,1533931020
36,0004001000021900,0,1533931020
37,0004001000021900,5,1533931020
38,0004003000008f02,6,1533931020
39,0004001000021900,1,1533931080
40,0004003000008f02,7,1533931080
41,0004001000021900,0,1533931080
42,0004001000021900,1,1533931140
43,0004003000008f02,7,1533931140
44,0004001000021000,0,1533931140
45,ffffffffffffffff,10,1533931200
46,0004003000008f02,2,1533931200
47,0004003000008f02,7,1533931260
48,0004001000021900,0,1533931260
49,ffffffffffffffff,8,1533931500
50,ffffffffffffffff,9,1533948540
51,0004001000021900,5,1533948720
52,0004003000008f02,6,1533948720
53,0004003000008f02,7,1533948720
54,0004001000021900,4,1533948720
55,0004001000021900,5,1533948720
56,0004003000008f02,6,1533948720
57,0004001000021900,1,1533948720
58,0004003000008f02,7,1533948720
59,0004001000021e00,0,1533948720
60,0004001000021e00,5,1533948780
61,0004003000008f02,6,1533948780
62,0004001000021e00,1,1533948840
63,0004003000008f02,7,1533948840
64,0004001000021900,0,1533948840
65,0004001000021900,5,1533949140
66,0004003000008f02,6,1533949140
67,0004001000021900,1,1533949200
68,0004003000008f02,7,1533949200
69,0004001000021500,0,1533949200
70,0004001000021500,5,1533949260
71,0004003000008f02,6,1533949260
72,0004001000021500,1,1533949260
73,0004003000008f02,7,1533949260
74,0004001020021d00,0,1533949260
75,0004001020021d00,5,1533949500
76,0004003000008f02,6,1533949500
77,0004001020021d00,1,1533949500
78,ffffffffffffffff,8,1533949500
79,ffffffffffffffff,9,1533949920
80,ffffffffffffffff,8,1533949920
81,ffffffffffffffff,9,1533949920
82,ffffffffffffffff,8,1533949980
83,ffffffffffffffff,9,1533949980
84,ffffffffffffffff,10,1533949980
85,0004003000008f02,2,1533950100
86,ffffffffffffffff,10,1533950160
87,0004003000008f02,2,1535658300
88,0004003000008f02,7,1535658300
89,0004000000088900,0,1535658300
90,0004000000088900,5,1535659920
91,0004003000008f02,6,1535659920
92,0004003000008f02,3,1535659920
93,0004003000009702,2,1535659920
94,0004003000009702,3,1535659920
95,0004003000008f02,2,1535659920
96,0004000000088900,1,1535659920
97,0004003000008f02,7,1535659980
98,0004001000021500,0,1535659980
99,0004001000021500,5,1535659980
100,0004003000008f02,6,1535659980
101,0004001000021500,1,1535660040
102,0004003000008f02,7,1535660040
103,0004001000021900,0,1535660040
104,0004001000021900,5,1535660280
105,0004003000008f02,6,1535660280
106,0004001000021900,1,1535660280
107,ffffffffffffffff,10,1535660280
108,0004003000008f02,2,1541116080
109,0004003000008f02,7,1541116080
110,0004000000030800,0,1541116080
111,0004000000030800,5,1541116860
112,0004003000008f02,6,1541116860
113,0004000000030800,1,1541116860
